Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.89     0.00       45     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.89     0.00       45     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Pair* (*)(LAMMPS_NS::LAMMPS*)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       43     0.00     0.00  fmt::v10_lmp::detail::digit_grouping<char>::digit_grouping(fmt::v10_lmp::detail::locale_ref, bool)
  0.00      0.89     0.00       40     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, LAMMPS_NS::Command* (*)(LAMMPS_NS::LAMMPS*), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Command* (*)(LAMMPS_NS::LAMMPS*)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.89     0.00       40     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Command* (*)(LAMMPS_NS::LAMMPS*)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Command* (*)(LAMMPS_NS::LAMMPS*)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Command* (*)(LAMMPS_NS::LAMMPS*)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Command* (*)(LAMMPS_NS::LAMMPS*)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       36     0.00     0.00  LAMMPS_NS::AtomVec::pack_border(int, int*, double*, int, int*)
  0.00      0.89     0.00       36     0.00     0.00  LAMMPS_NS::AtomVec::unpack_border(int, int, double*)
  0.00      0.89     0.00       36     0.00    24.72  main
  0.00      0.89     0.00       30     0.00     0.00  LAMMPS_NS::Input::substitute(char*&, char*&, int&, int&, int)
  0.00      0.89     0.00       30     0.00     0.00  LAMMPS_NS::Input::parse()
  0.00      0.89     0.00       30     0.00     0.00  LAMMPS_NS::Input::numtriple(char*)
  0.00      0.89     0.00       29     0.00     0.00  void LAMMPS_NS::utils::bounds_typelabel<long long>(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long, long, long long&, long long&, LAMMPS_NS::LAMMPS*, int)
  0.00      0.89     0.00       29     0.00     0.00  re_find
  0.00      0.89     0.00       24     0.00     0.00  fmt::v10_lmp::appender fmt::v10_lmp::detail::write_significand<fmt::v10_lmp::appender, char, char const*, fmt::v10_lmp::detail::digit_grouping<char> >(fmt::v10_lmp::appender, char const*, int, int, char, fmt::v10_lmp::detail::digit_grouping<char> const&)
  0.00      0.89     0.00       24     0.00     0.00  LAMMPS_NS::utils::logmesg(LAMMPS_NS::LAMMPS*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       24     0.00     0.00  LAMMPS_NS::AtomVec::init_method(int, LAMMPS_NS::AtomVec::Method*)
  0.00      0.89     0.00       24     0.00     0.00  LAMMPS_NS::AtomVec::process_fields(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, LAMMPS_NS::AtomVec::Method*)
  0.00      0.89     0.00       24     0.00     0.00  LAMMPS_NS::AtomVec::Method::resize(int)
  0.00      0.89     0.00       21     0.00     0.00  LAMMPS_NS::Modify::list_init(int, int&, int*&)
  0.00      0.89     0.00       20     0.00    44.50  LAMMPS_NS::Input::execute_command()
  0.00      0.89     0.00       19     0.00     0.00  LAMMPS_NS::Command* command_creator<LAMMPS_NS::Balance>(LAMMPS_NS::LAMMPS*)
  0.00      0.89     0.00       19     0.00     0.00  fmt::v10_lmp::appender fmt::v10_lmp::detail::write_significand<char, fmt::v10_lmp::appender, char const*, fmt::v10_lmp::detail::digit_grouping<char> >(fmt::v10_lmp::appender, char const*, int, int, fmt::v10_lmp::detail::digit_grouping<char> const&)
  0.00      0.89     0.00       18     0.00     0.00  LAMMPS_NS::Atom::add_peratom_vary(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, void*, int, int*, void*, int)
  0.00      0.89     0.00       16     0.00     0.00  LAMMPS_NS::Lattice::bbox(int, double, double, double, double&, double&, double&, double&, double&, double&)
  0.00      0.89     0.00       16     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.89     0.00       16     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
